,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-15,87.57573131581677,86.40836172905983,93.4987128083366,87.57573131581677,87.57573131581677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.217370946456065,2.217370946456065,2.217370946456065,0.0,0.0,0.0,-1.248246970917191,-1.248246970917191,-1.248246970917191,3.465617917373256,3.465617917373256,3.465617917373256,0.0,0.0,0.0,89.79310226227284
1,2014-07-16,87.59251383283885,86.16509489615478,93.38257812592013,87.59251383283885,87.59251383283885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2373529951088345,2.2373529951088345,2.2373529951088345,0.0,0.0,0.0,-1.2491637860612947,-1.2491637860612947,-1.2491637860612947,3.486516781170128,3.486516781170128,3.486516781170128,0.0,0.0,0.0,89.82986682794768
2,2014-07-17,87.60929634986094,86.16754505388417,93.35734546921766,87.60929634986094,87.60929634986094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127953809996627,2.127953809996627,2.127953809996627,0.0,0.0,0.0,-1.3607101149390495,-1.3607101149390495,-1.3607101149390495,3.4886639249356763,3.4886639249356763,3.4886639249356763,0.0,0.0,0.0,89.73725015985757
3,2014-07-18,87.62607886688303,86.3355724128799,93.34922950725547,87.62607886688303,87.62607886688303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.134768217971023,2.134768217971023,2.134768217971023,0.0,0.0,0.0,-1.3378852323558523,-1.3378852323558523,-1.3378852323558523,3.4726534503268756,3.4726534503268756,3.4726534503268756,0.0,0.0,0.0,89.76084708485406
4,2014-07-21,87.6764264179493,86.19418448342572,93.14116123663136,87.6764264179493,87.6764264179493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95883691021532,1.95883691021532,1.95883691021532,0.0,0.0,0.0,-1.3691532567602853,-1.3691532567602853,-1.3691532567602853,3.3279901669756056,3.3279901669756056,3.3279901669756056,0.0,0.0,0.0,89.63526332816463
5,2014-07-22,87.69320893497138,86.23444900074904,93.34304718341,87.69320893497138,87.69320893497138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0052626202310053,2.0052626202310053,2.0052626202310053,0.0,0.0,0.0,-1.2482469709158486,-1.2482469709158486,-1.2482469709158486,3.2535095911468543,3.2535095911468543,3.2535095911468543,0.0,0.0,0.0,89.69847155520239
6,2014-07-23,87.70999145199347,86.07838490314346,92.98927561097378,87.70999145199347,87.70999145199347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.920449460743922,1.920449460743922,1.920449460743922,0.0,0.0,0.0,-1.2491637860610012,-1.2491637860610012,-1.2491637860610012,3.1696132468049227,3.1696132468049227,3.1696132468049227,0.0,0.0,0.0,89.6304409127374
7,2014-07-24,87.72677396901557,86.15090181689379,92.66565659845868,87.72677396901557,87.72677396901557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7181295729481585,1.7181295729481585,1.7181295729481585,0.0,0.0,0.0,-1.3607101149404468,-1.3607101149404468,-1.3607101149404468,3.0788396878886055,3.0788396878886055,3.0788396878886055,0.0,0.0,0.0,89.44490354196373
8,2014-07-25,87.74355648603766,85.90168259017321,92.99943910618317,87.74355648603766,87.74355648603766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6459502083306612,1.6459502083306612,1.6459502083306612,0.0,0.0,0.0,-1.3378852323559842,-1.3378852323559842,-1.3378852323559842,2.9838354406866454,2.9838354406866454,2.9838354406866454,0.0,0.0,0.0,89.38950669436832
9,2014-07-28,87.79390403710393,85.86631344050005,92.71973157325682,87.79390403710393,87.79390403710393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3308088955967612,1.3308088955967612,1.3308088955967612,0.0,0.0,0.0,-1.3691532567567726,-1.3691532567567726,-1.3691532567567726,2.699962152353534,2.699962152353534,2.699962152353534,0.0,0.0,0.0,89.12471293270069
10,2014-07-29,87.81068655412602,85.57634126201617,92.53952619985171,87.81068655412602,87.81068655412602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3658208897606807,1.3658208897606807,1.3658208897606807,0.0,0.0,0.0,-1.248246970917131,-1.248246970917131,-1.248246970917131,2.614067860677812,2.614067860677812,2.614067860677812,0.0,0.0,0.0,89.1765074438867
11,2014-07-30,87.82746907114812,85.67184974502968,92.37799427491484,87.82746907114812,87.82746907114812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2870669212766472,1.2870669212766472,1.2870669212766472,0.0,0.0,0.0,-1.249163786061176,-1.249163786061176,-1.249163786061176,2.536230707337823,2.536230707337823,2.536230707337823,0.0,0.0,0.0,89.11453599242476
12,2014-07-31,87.8442515881702,85.43784568800696,92.39216961660237,87.8442515881702,87.8442515881702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1075407945865994,1.1075407945865994,1.1075407945865994,0.0,0.0,0.0,-1.3607101149418446,-1.3607101149418446,-1.3607101149418446,2.468250909528444,2.468250909528444,2.468250909528444,0.0,0.0,0.0,88.95179238275679
