,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-15,189614.26450339655,178945.3546513947,195885.46156727764,189614.26450339655,189614.26450339655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1957.378383022673,-1957.378383022673,-1957.378383022673,0.0,0.0,0.0,-319.05327436151526,-319.05327436151526,-319.05327436151526,-1638.3251086611576,-1638.3251086611576,-1638.3251086611576,0.0,0.0,0.0,187656.88612037388
1,2014-07-16,189816.91625989453,179301.6498217219,196859.29704688728,189816.91625989453,189816.91625989453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1566.9222177852976,-1566.9222177852976,-1566.9222177852976,0.0,0.0,0.0,-209.60513519070864,-209.60513519070864,-209.60513519070864,-1357.317082594589,-1357.317082594589,-1357.317082594589,0.0,0.0,0.0,188249.99404210923
2,2014-07-17,190019.56801639247,180188.65904840207,197567.6869948604,190019.56801639247,190019.56801639247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1401.8660096657766,-1401.8660096657766,-1401.8660096657766,0.0,0.0,0.0,-325.8058268890511,-325.8058268890511,-325.8058268890511,-1076.0601827767257,-1076.0601827767257,-1076.0601827767257,0.0,0.0,0.0,188617.7020067267
3,2014-07-18,190222.21977289038,180720.23310066643,197773.1608258044,190222.21977289038,190222.21977289038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1293.3452661327185,-1293.3452661327185,-1293.3452661327185,0.0,0.0,0.0,-497.6316141283521,-497.6316141283521,-497.6316141283521,-795.7136520043663,-795.7136520043663,-795.7136520043663,0.0,0.0,0.0,188928.87450675765
4,2014-07-21,190830.17504238425,182200.42862961045,199209.024424492,190830.17504238425,190830.17504238425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-526.494540670468,-526.494540670468,-526.494540670468,0.0,0.0,0.0,-556.8500429212725,-556.8500429212725,-556.8500429212725,30.35550225080442,30.35550225080442,30.35550225080442,0.0,0.0,0.0,190303.68050171377
5,2014-07-22,191032.8267988822,182342.11085528776,199217.02778575593,191032.8267988822,191032.8267988822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.740433423850316,-20.740433423850316,-20.740433423850316,0.0,0.0,0.0,-319.05327436092745,-319.05327436092745,-319.05327436092745,298.3128409370772,298.3128409370772,298.3128409370772,0.0,0.0,0.0,191012.08636545835
6,2014-07-23,191235.47855538016,182482.61706063038,199721.33852880326,191235.47855538016,191235.47855538016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.1486044740921,352.1486044740921,352.1486044740921,0.0,0.0,0.0,-209.60513519067496,-209.60513519067496,-209.60513519067496,561.7537396647671,561.7537396647671,561.7537396647671,0.0,0.0,0.0,191587.62715985425
7,2014-07-24,191438.13031187808,183456.0104102967,200057.76569339732,191438.13031187808,191438.13031187808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.603890176566,494.603890176566,494.603890176566,0.0,0.0,0.0,-325.80582688966297,-325.80582688966297,-325.80582688966297,820.409717066229,820.409717066229,820.409717066229,0.0,0.0,0.0,191932.73420205465
8,2014-07-25,191640.78206837602,183660.3272013208,201188.14328610557,191640.78206837602,191640.78206837602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.5116893452212,576.5116893452212,576.5116893452212,0.0,0.0,0.0,-497.6316141285595,-497.6316141285595,-497.6316141285595,1074.1433034737804,1074.1433034737804,1074.1433034737804,0.0,0.0,0.0,192217.29375772123
9,2014-07-28,192248.73733786988,185032.00965872087,201871.6324463033,192248.73733786988,192248.73733786988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.1471117706292,1249.1471117706292,1249.1471117706292,0.0,0.0,0.0,-556.8500429202641,-556.8500429202641,-556.8500429202641,1805.9971546908935,1805.9971546908935,1805.9971546908935,0.0,0.0,0.0,193497.88444964052
10,2014-07-29,192451.3890943678,185432.39999354773,202534.89880777503,192451.3890943678,192451.3890943678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1721.5316024554213,1721.5316024554213,1721.5316024554213,0.0,0.0,0.0,-319.05327436161417,-319.05327436161417,-319.05327436161417,2040.5848768170358,2040.5848768170358,2040.5848768170358,0.0,0.0,0.0,194172.92069682322
11,2014-07-30,192654.04085086577,186352.07973018516,203513.80921920337,192654.04085086577,192654.04085086577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2061.181098072788,2061.181098072788,2061.181098072788,0.0,0.0,0.0,-209.60513519075636,-209.60513519075636,-209.60513519075636,2270.786233263544,2270.786233263544,2270.786233263544,0.0,0.0,0.0,194715.22194893856
12,2014-07-31,192856.69260736372,185946.46951905225,203576.31857642304,192856.69260736372,192856.69260736372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2170.966538258228,2170.966538258228,2170.966538258228,0.0,0.0,0.0,-325.8058268902749,-325.8058268902749,-325.8058268902749,2496.7723651485026,2496.7723651485026,2496.7723651485026,0.0,0.0,0.0,195027.65914562193
13,2014-08-01,193059.34436386166,186370.85582970027,203536.92534152733,193059.34436386166,193059.34436386166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2221.040977467422,2221.040977467422,2221.040977467422,0.0,0.0,0.0,-497.6316141287668,-497.6316141287668,-497.6316141287668,2718.672591596189,2718.672591596189,2718.672591596189,0.0,0.0,0.0,195280.3853413291
14,2014-08-04,193667.2996333555,188324.40878463374,205209.99480073783,193667.2996333555,193667.2996333555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2803.1753832902637,2803.1753832902637,2803.1753832902637,0.0,0.0,0.0,-556.8500429212293,-556.8500429212293,-556.8500429212293,3360.0254262114936,3360.0254262114936,3360.0254262114936,0.0,0.0,0.0,196470.47501664577
15,2014-08-05,193869.95138985344,188350.3853986673,205402.77967832435,193869.95138985344,193869.95138985344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3246.186415355954,3246.186415355954,3246.186415355954,0.0,0.0,0.0,-319.0532743615753,-319.0532743615753,-319.0532743615753,3565.23968971753,3565.23968971753,3565.23968971753,0.0,0.0,0.0,197116.13780520938
16,2014-08-06,194072.6031463514,188185.43755061866,206083.80606424602,194072.6031463514,194072.6031463514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3556.0346783036134,3556.0346783036134,3556.0346783036134,0.0,0.0,0.0,-209.60513519063292,-209.60513519063292,-209.60513519063292,3765.639813494247,3765.639813494247,3765.639813494247,0.0,0.0,0.0,197628.63782465502
17,2014-08-07,194275.25490284935,188980.01993305035,206554.04293812727,194275.25490284935,194275.25490284935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3634.90721684826,3634.90721684826,3634.90721684826,0.0,0.0,0.0,-325.8058268901535,-325.8058268901535,-325.8058268901535,3960.7130437384135,3960.7130437384135,3960.7130437384135,0.0,0.0,0.0,197910.1621196976
18,2014-08-08,194477.90665934727,189865.03271725713,206379.7613734873,194477.90665934727,194477.90665934727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3652.185939727786,3652.185939727786,3652.185939727786,0.0,0.0,0.0,-497.6316141285579,-497.6316141285579,-497.6316141285579,4149.817553856344,4149.817553856344,4149.817553856344,0.0,0.0,0.0,198130.09259907505
19,2014-08-11,195085.86192884113,190986.49804681173,207363.3825365726,195085.86192884113,195085.86192884113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4116.333837118016,4116.333837118016,4116.333837118016,0.0,0.0,0.0,-556.8500429221943,-556.8500429221943,-556.8500429221943,4673.18388004021,4673.18388004021,4673.18388004021,0.0,0.0,0.0,199202.19576595916
20,2014-08-12,195288.51368533907,191059.34082028983,208420.00075930275,195288.51368533907,195288.51368533907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4510.778049636148,4510.778049636148,4510.778049636148,0.0,0.0,0.0,-319.05327436043865,-319.05327436043865,-319.05327436043865,4829.831323996587,4829.831323996587,4829.831323996587,0.0,0.0,0.0,199799.2917349752
21,2014-08-13,195491.16544183705,192019.12689180352,208944.4721609087,195491.16544183705,195491.16544183705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4766.252196560464,4766.252196560464,4766.252196560464,0.0,0.0,0.0,-209.60513519070795,-209.60513519070795,-209.60513519070795,4975.857331751172,4975.857331751172,4975.857331751172,0.0,0.0,0.0,200257.4176383975
22,2014-08-14,195693.81719833496,191456.4060590283,208893.1223627966,195693.81719833496,195693.81719833496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4784.405802168503,4784.405802168503,4784.405802168503,0.0,0.0,0.0,-325.8058268902734,-325.8058268902734,-325.8058268902734,5110.211629058777,5110.211629058777,5110.211629058777,0.0,0.0,0.0,200478.22300050347
23,2014-08-15,195896.4689548329,192119.0566316396,208889.1548308111,195896.4689548329,195896.4689548329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4734.246766181536,4734.246766181536,4734.246766181536,0.0,0.0,0.0,-497.6316141287652,-497.6316141287652,-497.6316141287652,5231.8783803103015,5231.8783803103015,5231.8783803103015,0.0,0.0,0.0,200630.71572101445
24,2014-08-18,196504.42422432677,193468.8924730449,209987.5058401402,196504.42422432677,196504.42422432677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4955.025744307065,4955.025744307065,4955.025744307065,0.0,0.0,0.0,-556.850042922068,-556.850042922068,-556.850042922068,5511.875787229134,5511.875787229134,5511.875787229134,0.0,0.0,0.0,201459.44996863382
25,2014-08-19,196707.07598082468,193399.6888996588,210454.48430940954,196707.07598082468,196707.07598082468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5255.539537446479,5255.539537446479,5255.539537446479,0.0,0.0,0.0,-319.0532743616742,-319.0532743616742,-319.0532743616742,5574.592811808153,5574.592811808153,5574.592811808153,0.0,0.0,0.0,201962.61551827117
26,2014-08-20,196909.72773732265,193967.1751995112,210412.52322099093,196909.72773732265,196909.72773732265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5411.7119883316245,5411.7119883316245,5411.7119883316245,0.0,0.0,0.0,-209.60513519068695,-209.60513519068695,-209.60513519068695,5621.317123522311,5621.317123522311,5621.317123522311,0.0,0.0,0.0,202321.4397256543
