,ds,yhat,yhat_lower,yhat_upper
0,2014-07-15,187656.88612037388,178945.3546513947,195885.46156727764
1,2014-07-16,188249.99404210923,179301.6498217219,196859.29704688728
2,2014-07-17,188617.7020067267,180188.65904840207,197567.6869948604
3,2014-07-18,188928.87450675765,180720.23310066643,197773.1608258044
4,2014-07-21,190303.68050171377,182200.42862961045,199209.024424492
5,2014-07-22,191012.08636545835,182342.11085528776,199217.02778575593
6,2014-07-23,191587.62715985425,182482.61706063038,199721.33852880326
7,2014-07-24,191932.73420205465,183456.0104102967,200057.76569339732
8,2014-07-25,192217.29375772123,183660.3272013208,201188.14328610557
9,2014-07-28,193497.88444964052,185032.00965872087,201871.6324463033
10,2014-07-29,194172.92069682322,185432.39999354773,202534.89880777503
11,2014-07-30,194715.22194893856,186352.07973018516,203513.80921920337
12,2014-07-31,195027.65914562193,185946.46951905225,203576.31857642304
13,2014-08-01,195280.3853413291,186370.85582970027,203536.92534152733
14,2014-08-04,196470.47501664577,188324.40878463374,205209.99480073783
15,2014-08-05,197116.13780520938,188350.3853986673,205402.77967832435
16,2014-08-06,197628.63782465502,188185.43755061866,206083.80606424602
17,2014-08-07,197910.1621196976,188980.01993305035,206554.04293812727
18,2014-08-08,198130.09259907505,189865.03271725713,206379.7613734873
19,2014-08-11,199202.19576595916,190986.49804681173,207363.3825365726
20,2014-08-12,199799.2917349752,191059.34082028983,208420.00075930275
21,2014-08-13,200257.4176383975,192019.12689180352,208944.4721609087
22,2014-08-14,200478.22300050347,191456.4060590283,208893.1223627966
23,2014-08-15,200630.71572101445,192119.0566316396,208889.1548308111
24,2014-08-18,201459.44996863382,193468.8924730449,209987.5058401402
25,2014-08-19,201962.61551827117,193399.6888996588,210454.48430940954
26,2014-08-20,202321.4397256543,193967.1751995112,210412.52322099093
27,2014-08-21,202438.54511527735,193634.47990673134,211686.78822772356
28,2014-08-22,202484.1318862105,193558.9582977326,211453.2868736933
29,2014-08-25,202987.61095073662,194246.73901773602,211610.0907538591
30,2014-08-26,203386.43449652978,194936.69079513676,212498.18570237907
31,2014-08-27,203645.94864471926,195126.03260742192,211804.04458061385
32,2014-08-28,203670.59193357485,194921.33803210786,211817.831587332
33,2014-08-29,203632.32180394826,194836.310909298,212181.80985788352
34,2014-09-02,204315.41641487955,195466.75717883612,212897.06394543804
35,2014-09-03,204554.79722974653,196408.85484455698,213117.051670738
