,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-09-24,23.976682632566718,21.916614007945203,25.61759706134575,23.976682632566718,23.976682632566718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24236055526069827,-0.24236055526069827,-0.24236055526069827,0.0,0.0,0.0,0.26186838279670116,0.26186838279670116,0.26186838279670116,-0.5042289380573994,-0.5042289380573994,-0.5042289380573994,0.0,0.0,0.0,23.734322077306018
1,2014-09-25,23.982241943924624,21.655125403790493,25.6018781421306,23.982241943924624,23.982241943924624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3304397481980304,-0.3304397481980304,-0.3304397481980304,0.0,0.0,0.0,0.2150503702645879,0.2150503702645879,0.2150503702645879,-0.5454901184626183,-0.5454901184626183,-0.5454901184626183,0.0,0.0,0.0,23.651802195726592
2,2014-09-26,23.987801255282537,21.552705145101726,25.420332120721955,23.987801255282537,23.987801255282537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37576324810676065,-0.37576324810676065,-0.37576324810676065,0.0,0.0,0.0,0.21690521949457042,0.21690521949457042,0.21690521949457042,-0.592668467601331,-0.592668467601331,-0.592668467601331,0.0,0.0,0.0,23.612038007175776
3,2014-09-29,24.004479189356267,21.599737148619404,25.30731981103943,24.004479189356267,24.004479189356267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5737682996848852,-0.5737682996848852,-0.5737682996848852,0.0,0.0,0.0,0.19374958580384488,0.19374958580384488,0.19374958580384488,-0.7675178854887302,-0.7675178854887302,-0.7675178854887302,0.0,0.0,0.0,23.43071088967138
4,2014-09-30,24.010038500714174,21.478944114101505,25.383264701796577,24.010038500714174,24.010038500714174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5703227380671013,-0.5703227380671013,-0.5703227380671013,0.0,0.0,0.0,0.2651829932409333,0.2651829932409333,0.2651829932409333,-0.8355057313080347,-0.8355057313080347,-0.8355057313080347,0.0,0.0,0.0,23.439715762647072
5,2014-10-01,24.015597812072084,21.40629886842635,25.318327293491333,24.015597812072084,24.015597812072084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6454622146057225,-0.6454622146057225,-0.6454622146057225,0.0,0.0,0.0,0.2618683827966815,0.2618683827966815,0.2618683827966815,-0.9073305974024041,-0.9073305974024041,-0.9073305974024041,0.0,0.0,0.0,23.370135597466362
6,2014-10-02,24.021157123429997,21.192409091916943,24.9615253950478,24.021157123429997,24.021157123429997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7671644091203932,-0.7671644091203932,-0.7671644091203932,0.0,0.0,0.0,0.21505037026442356,0.21505037026442356,0.21505037026442356,-0.9822147793848167,-0.9822147793848167,-0.9822147793848167,0.0,0.0,0.0,23.253992714309604
7,2014-10-03,24.026716434787904,21.193577337983946,25.168240008606553,24.026716434787904,24.026716434787904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8423821070513209,-0.8423821070513209,-0.8423821070513209,0.0,0.0,0.0,0.21690521949404604,0.21690521949404604,0.21690521949404604,-1.059287326545367,-1.059287326545367,-1.059287326545367,0.0,0.0,0.0,23.184334327736583
8,2014-10-06,24.043394368861634,21.166232748096473,24.915363558266023,24.043394368861634,24.043394368861634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1001460969280183,-1.1001460969280183,-1.1001460969280183,0.0,0.0,0.0,0.1937495858031918,0.1937495858031918,0.1937495858031918,-1.2938956827312103,-1.2938956827312103,-1.2938956827312103,0.0,0.0,0.0,22.943248271933616
9,2014-10-07,24.048953680219547,20.997102200934293,24.835302319435176,24.048953680219547,24.048953680219547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1045947858588643,-1.1045947858588643,-1.1045947858588643,0.0,0.0,0.0,0.26518299324143607,0.26518299324143607,0.26518299324143607,-1.3697777791003003,-1.3697777791003003,-1.3697777791003003,0.0,0.0,0.0,22.944358894360683
