,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-15,70.76643761714945,66.94466071449676,77.3150988358,70.76643761714945,70.76643761714945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1387141973752783,1.1387141973752783,1.1387141973752783,0.0,0.0,0.0,-0.19423145033046368,-0.19423145033046368,-0.19423145033046368,1.332945647705742,1.332945647705742,1.332945647705742,0.0,0.0,0.0,71.90515181452473
1,2014-07-16,70.8633836687164,66.83806806159771,77.08414450265605,70.8633836687164,70.8633836687164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2669067938934158,1.2669067938934158,1.2669067938934158,0.0,0.0,0.0,-0.09321652371346559,-0.09321652371346559,-0.09321652371346559,1.3601233176068812,1.3601233176068812,1.3601233176068812,0.0,0.0,0.0,72.1302904626098
2,2014-07-17,70.96032972028333,67.16169200850429,77.11518346987326,70.96032972028333,70.96032972028333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3116601227939615,1.3116601227939615,1.3116601227939615,0.0,0.0,0.0,-0.057709884670781156,-0.057709884670781156,-0.057709884670781156,1.3693700074647428,1.3693700074647428,1.3693700074647428,0.0,0.0,0.0,72.2719898430773
3,2014-07-18,71.05727577185029,67.46291699869491,77.50365707377087,71.05727577185029,71.05727577185029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4380766232973128,1.4380766232973128,1.4380766232973128,0.0,0.0,0.0,0.07807403714971035,0.07807403714971035,0.07807403714971035,1.3600025861476022,1.3600025861476022,1.3600025861476022,0.0,0.0,0.0,72.49535239514759
4,2014-07-21,71.34811392655111,67.40821852174572,77.96027876914317,71.34811392655111,71.34811392655111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3032816319607663,1.3032816319607663,1.3032816319607663,0.0,0.0,0.0,0.08295978830847739,0.08295978830847739,0.08295978830847739,1.220321843652289,1.220321843652289,1.220321843652289,0.0,0.0,0.0,72.65139555851188
5,2014-07-22,71.44505997811804,67.42143456863158,77.34635014617254,71.44505997811804,71.44505997811804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9446667508617884,0.9446667508617884,0.9446667508617884,0.0,0.0,0.0,-0.19423145033056735,-0.19423145033056735,-0.19423145033056735,1.1388982011923559,1.1388982011923559,1.1388982011923559,0.0,0.0,0.0,72.38972672897982
6,2014-07-23,71.54200602968498,67.31704987306414,77.20885343950204,71.54200602968498,71.54200602968498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9490747342750238,0.9490747342750238,0.9490747342750238,0.0,0.0,0.0,-0.09321652371381224,-0.09321652371381224,-0.09321652371381224,1.042291257988836,1.042291257988836,1.042291257988836,0.0,0.0,0.0,72.49108076396001
7,2014-07-24,71.63895208125193,67.62348167030173,77.54583997051925,71.63895208125193,71.63895208125193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8747217334002299,0.8747217334002299,0.8747217334002299,0.0,0.0,0.0,-0.057709884670622436,-0.057709884670622436,-0.057709884670622436,0.9324316180708525,0.9324316180708525,0.9324316180708525,0.0,0.0,0.0,72.51367381465217
8,2014-07-25,71.73589813281887,67.6943650532733,77.78362272230565,71.73589813281887,71.73589813281887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8896475099105982,0.8896475099105982,0.8896475099105982,0.0,0.0,0.0,0.07807403715003788,0.07807403715003788,0.07807403715003788,0.8115734727605605,0.8115734727605605,0.8115734727605605,0.0,0.0,0.0,72.62554564272948
9,2014-07-28,72.0267362875197,67.14289544583269,77.07634719166535,72.0267362875197,72.0267362875197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4921253514021428,0.4921253514021428,0.4921253514021428,0.0,0.0,0.0,0.08295978830874493,0.08295978830874493,0.08295978830874493,0.40916556309339797,0.40916556309339797,0.40916556309339797,0.0,0.0,0.0,72.51886163892183
