,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-15,16388.86387428366,16123.020108597562,17352.921856742865,16388.86387428366,16388.86387428366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.18847846590626,333.18847846590626,333.18847846590626,0.0,0.0,0.0,-109.63867874875392,-109.63867874875392,-109.63867874875392,442.82715721466013,442.82715721466013,442.82715721466013,0.0,0.0,0.0,16722.052352749564
1,2014-07-16,16398.723292772385,16108.907692875622,17389.00659032078,16398.723292772385,16398.723292772385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.7530429096136,348.7530429096136,348.7530429096136,0.0,0.0,0.0,-112.67000495958241,-112.67000495958241,-112.67000495958241,461.423047869196,461.423047869196,461.423047869196,0.0,0.0,0.0,16747.476335682
2,2014-07-17,16408.582711261115,16142.255230565814,17417.700304964575,16408.582711261115,16408.582711261115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.4642393442027,358.4642393442027,358.4642393442027,0.0,0.0,0.0,-119.56643060220043,-119.56643060220043,-119.56643060220043,478.030669946403,478.030669946403,478.030669946403,0.0,0.0,0.0,16767.04695060532
3,2014-07-18,16418.44212974984,16147.355917802137,17448.47082926984,16418.44212974984,16418.44212974984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.74196332219617,374.74196332219617,374.74196332219617,0.0,0.0,0.0,-117.6707727038282,-117.6707727038282,-117.6707727038282,492.4127360260244,492.4127360260244,492.4127360260244,0.0,0.0,0.0,16793.184093072035
4,2014-07-21,16448.02038521602,16181.696189403774,17432.77694156016,16448.02038521602,16448.02038521602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.19739810964313,381.19739810964313,381.19739810964313,0.0,0.0,0.0,-139.37276438581637,-139.37276438581637,-139.37276438581637,520.5701624954594,520.5701624954594,520.5701624954594,0.0,0.0,0.0,16829.21778332566
5,2014-07-22,16457.879803704745,16247.021951713261,17481.598156346052,16457.879803704745,16457.879803704745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.04066891987924,415.04066891987924,415.04066891987924,0.0,0.0,0.0,-109.63867874862778,-109.63867874862778,-109.63867874862778,524.679347668507,524.679347668507,524.679347668507,0.0,0.0,0.0,16872.920472624624
6,2014-07-23,16467.739222193475,16228.082984557179,17516.922357567986,16467.739222193475,16467.739222193475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.47524730665464,413.47524730665464,413.47524730665464,0.0,0.0,0.0,-112.67000495955128,-112.67000495955128,-112.67000495955128,526.145252266206,526.145252266206,526.145252266206,0.0,0.0,0.0,16881.21446950013
7,2014-07-24,16477.5986406822,16250.074350220684,17557.325387691366,16477.5986406822,16477.5986406822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.47727974666816,405.47727974666816,405.47727974666816,0.0,0.0,0.0,-119.56643060233834,-119.56643060233834,-119.56643060233834,525.0437103490066,525.0437103490066,525.0437103490066,0.0,0.0,0.0,16883.07592042887
8,2014-07-25,16487.458059170927,16184.277837773116,17536.82351671261,16487.458059170927,16487.458059170927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.828224824459,403.828224824459,403.828224824459,0.0,0.0,0.0,-117.67077270386946,-117.67077270386946,-117.67077270386946,521.4989975283286,521.4989975283286,521.4989975283286,0.0,0.0,0.0,16891.286283995385
9,2014-07-28,16517.03631463711,16258.50986572512,17515.293235798395,16517.03631463711,16517.03631463711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.69863542238073,358.69863542238073,358.69863542238073,0.0,0.0,0.0,-139.37276438550018,-139.37276438550018,-139.37276438550018,498.0713998078809,498.0713998078809,498.0713998078809,0.0,0.0,0.0,16875.73495005949
