,ds,yhat,yhat_lower,yhat_upper
0,2014-07-15,16722.052352749564,16123.020108597562,17352.921856742865
1,2014-07-16,16747.476335682,16108.907692875622,17389.00659032078
2,2014-07-17,16767.04695060532,16142.255230565814,17417.700304964575
3,2014-07-18,16793.184093072035,16147.355917802137,17448.47082926984
4,2014-07-21,16829.21778332566,16181.696189403774,17432.77694156016
5,2014-07-22,16872.920472624624,16247.021951713261,17481.598156346052
6,2014-07-23,16881.21446950013,16228.082984557179,17516.922357567986
7,2014-07-24,16883.07592042887,16250.074350220684,17557.325387691366
8,2014-07-25,16891.286283995385,16184.277837773116,17536.82351671261
9,2014-07-28,16875.73495005949,16258.50986572512,17515.293235798395
10,2014-07-29,16904.040602280715,16246.835323641728,17557.46654848411
11,2014-07-30,16898.29126156335,16273.385614421304,17533.9582034051
12,2014-07-31,16887.67485893356,16274.556145662678,17524.848534611512
13,2014-08-01,16885.136892031856,16288.058335367417,17543.94191393956
14,2014-08-04,16848.58612468103,16201.435810441404,17484.86957229899
15,2014-08-05,16873.66828996087,16284.520769980933,17550.77826164343
16,2014-08-06,16866.47162282622,16216.0132802242,17540.0081699268
17,2014-08-07,16856.048315125583,16224.752488642676,17510.11406640338
18,2014-08-08,16855.169529361843,16200.633157841192,17497.620224707855
19,2014-08-11,16830.213217419267,16224.531242811845,17511.32414831098
20,2014-08-12,16860.547992501353,16223.208806032391,17514.110683976418
21,2014-08-13,16858.872119417978,16243.247717375896,17486.560674282617
22,2014-08-14,16853.989778642946,16218.832001076817,17458.818374733735
23,2014-08-15,16858.44022159533,16226.74341046976,17500.852288896524
24,2014-08-18,16846.2682797268,16241.305638890895,17492.900894120212
25,2014-08-19,16879.320328181402,16274.894705439117,17555.460731063085
26,2014-08-20,16879.44941363805,16267.662822096865,17484.204295356194
27,2014-08-21,16875.439055726456,16250.18590045547,17523.400538712696
28,2014-08-22,16879.8506323864,16234.241711979828,17480.14838746891
29,2014-08-25,16862.91750061506,16245.019532829076,17494.10231508198
30,2014-08-26,16893.281081694164,16297.628122309068,17561.777880649777
31,2014-08-27,16890.462449170176,16211.224883007284,17483.89768171593
32,2014-08-28,16883.447075301054,16270.720145762083,17489.709877063895
33,2014-08-29,16885.00594848297,16240.343626977136,17496.641023348413
34,2014-09-02,16892.567728369708,16215.799180608083,17524.45895000541
35,2014-09-03,16890.522525366392,16191.92255411705,17487.08362406025
36,2014-09-04,16885.420915735205,16278.241475815665,17488.196883215023
37,2014-09-05,16890.0915402885,16261.610621833306,17540.610700363886
38,2014-09-08,16884.005733733233,16261.410176793988,17532.303727956445
39,2014-09-09,16921.70298945,16313.221251680647,17566.11355702882
40,2014-09-10,16928.088882012973,16289.524097117775,17569.503568627417
41,2014-09-11,16932.048207419095,16328.704889012388,17566.57615028543
42,2014-09-12,16946.179391748457,16351.193783270712,17544.739122243504
43,2014-09-15,16968.22961900427,16359.108547702328,17639.01219757396
44,2014-09-16,17014.283767776484,16376.188507108684,17647.391749396244
45,2014-09-17,17028.046328065302,16409.436780610384,17619.33105671749
