,ds,yhat,yhat_lower,yhat_upper
0,2014-07-15,4419.1269115719715,4393.882266472301,4447.890291950085
1,2014-07-16,4409.201117797056,4381.282197789827,4437.354080897403
2,2014-07-17,4399.275324883988,4372.469794297283,4424.864326824134
3,2014-07-18,4406.786457168658,4379.068847454379,4434.468040440821
4,2014-07-21,4428.263245995384,4400.72799325764,4454.87951364584
5,2014-07-22,4435.4221756042925,4408.542219195237,4462.303838542093
6,2014-07-23,4442.581105213201,4413.233163828225,4472.0176162987
7,2014-07-24,4449.740034822109,4419.665206291035,4483.711388344702
8,2014-07-25,4456.898964431018,4415.823061814579,4496.365893988933
9,2014-07-26,4464.057894039927,4413.071616318907,4512.393591587319
10,2014-07-27,4471.216823648835,4412.537671647292,4529.171589557839
11,2014-07-28,4478.375753257744,4402.320009617422,4551.039994595455
12,2014-07-29,4485.5346828666525,4392.129846403089,4569.235825135656
13,2014-07-30,4492.69361247556,4378.442327516516,4597.357951302632
14,2014-07-31,4499.85254208447,4374.29593718453,4621.557007158927
15,2014-08-01,4507.011471693379,4358.274503895964,4641.754649916099
16,2014-08-02,4514.170401302286,4343.466581143282,4675.867819760172
17,2014-08-03,4521.329330911195,4333.431601014782,4693.961897270529
18,2014-08-04,4528.488260520105,4307.728106327364,4732.258890323786
19,2014-08-05,4535.647190129012,4287.047355519974,4752.841400933178
20,2014-08-06,4542.806119737921,4263.060072032082,4781.98553677271
21,2014-08-07,4549.965049346829,4254.122652010921,4816.760840433184
22,2014-08-08,4557.1239789557385,4240.025956611963,4862.288402561446
23,2014-08-09,4564.282908564647,4207.227697328209,4884.148630082156
24,2014-08-10,4571.441838173555,4195.216504285559,4924.491198094399
25,2014-08-11,4578.600767782464,4171.33748238122,4972.443592229751
26,2014-08-12,4585.759697391373,4139.294859631851,5000.341583080369
27,2014-08-13,4592.918627000281,4112.597342078427,5036.8876486553045
28,2014-08-14,4600.07755660919,4077.512345377581,5065.036349870562
29,2014-08-15,4607.236486218098,4051.7368429283606,5115.687713387388
30,2014-08-16,4614.395415827006,4030.314776922816,5150.46589934367
31,2014-08-17,4621.554345435916,3984.2334189179533,5181.921398004058
32,2014-08-18,4628.7132750448245,3963.3839966693813,5221.3385199205695
33,2014-08-19,4635.872204653732,3926.636650586666,5267.038936220157
34,2014-08-20,4643.031134262641,3894.4019447166324,5295.196805887036
35,2014-08-21,4650.190063871551,3860.8707911333036,5336.963621902764
36,2014-08-22,4657.348993480458,3835.466685200384,5375.648063989422
37,2014-08-23,4664.507923089367,3783.1667467854036,5417.595516716072
38,2014-08-24,4671.666852698276,3764.074288086248,5452.779505023505
39,2014-08-25,4678.825782307184,3715.0983817948527,5500.300956645257
40,2014-08-26,4685.984711916093,3677.4899818367735,5549.271588040641
41,2014-08-27,4693.143641525001,3648.9434084230306,5591.77427763692
42,2014-08-28,4700.30257113391,3602.8469713592126,5646.5549787655955
43,2014-08-29,4707.461500742818,3585.8997039326046,5702.163264577999
44,2014-08-30,4714.620430351727,3557.7566075894974,5761.7422787056485
45,2014-08-31,4721.779359960636,3513.6089073616795,5799.166819227958
46,2014-09-01,4728.938289569436,3467.896905153045,5853.317484879134
47,2014-09-02,4736.097219178452,3436.9374937982006,5904.354197523904
48,2014-09-03,4743.256148787362,3407.319402817872,5969.525272923338
49,2014-09-04,4750.4150783962705,3360.635327887689,6013.466803482488
50,2014-09-05,4757.574008005178,3321.060531525799,6081.994595183971
51,2014-09-06,4764.732937614087,3287.995188007553,6139.950992453082
52,2014-09-07,4771.891867222997,3260.100530588786,6182.42228458422
53,2014-09-08,4779.050796831904,3213.32963650088,6240.870264897561
54,2014-09-09,4786.209726440813,3188.1764543885342,6290.39453374271
55,2014-09-10,4793.368656049722,3158.647704356317,6340.777801368475
56,2014-09-11,4800.5275856586295,3125.3320260102087,6395.640173143689
57,2014-09-12,4807.686515267539,3082.059402302948,6449.97496658681
58,2014-09-13,4814.845444876448,3044.00374972388,6498.386509420256
59,2014-09-14,4822.004374485356,3012.0114076881814,6564.034584071959
60,2014-09-15,4829.163304094264,2983.2385942661854,6612.248453963459
61,2014-09-16,4836.322233703174,2941.715980029648,6674.435481128534
62,2014-09-17,4843.481163312082,2910.593924048379,6720.0259422227955
63,2014-09-18,4850.64009292099,2869.798535857244,6779.930133882144
64,2014-09-19,4857.799022529898,2824.597970800279,6825.569807924653
65,2014-09-20,4864.957952138808,2782.800432445402,6872.924569121933
66,2014-09-21,4872.116881747716,2744.510201956226,6927.756382845503
67,2014-09-22,4879.275811356624,2705.6856228513025,7004.035495288012
68,2014-09-23,4886.434740965533,2661.8728873816303,7059.21596463658
69,2014-09-24,4893.593670574442,2610.892433467468,7141.755373098759
70,2014-09-25,4900.75260018335,2583.7323997769704,7199.161875269021
71,2014-09-26,4907.911529792259,2524.5476818171646,7252.651796018748
72,2014-09-27,4915.070459401168,2476.6812009701125,7305.35068901008
73,2014-09-28,4922.2293890100755,2408.038640081469,7392.472682064427
74,2014-09-29,4929.388318618985,2384.785612661709,7448.4468607071485
75,2014-09-30,4936.547248227894,2354.5168939083387,7528.235212320927
76,2014-10-01,4943.7061778368015,2296.741569722334,7617.12032749141
77,2014-10-02,4950.86510744571,2251.254928618095,7673.521568664248
78,2014-10-03,4958.02403705462,2204.0445116251026,7741.175392072744
79,2014-10-04,4965.182966663528,2134.1943567979806,7814.016153178843
80,2014-10-05,4972.341896272436,2094.6560061407063,7891.247753232632
81,2014-10-06,4979.500825881344,2045.1959385657433,7975.608948795143
82,2014-10-07,4986.659755490253,2001.3852841160935,8065.103147219288
83,2014-10-08,4993.818685099162,1931.4459763879415,8119.717841271691
84,2014-10-09,5000.97761470807,1875.8013010805375,8203.174330208481
85,2014-10-10,5008.136544316979,1818.9134309795593,8283.70505711578
86,2014-10-11,5015.295473925888,1767.8132612602458,8341.972959982826
87,2014-10-12,5022.454403534796,1703.641820389082,8434.810387680678
88,2014-10-13,5029.613333143597,1618.8752847037313,8508.891278995787
89,2014-10-14,5036.772262752614,1585.0368313654371,8578.302585394445
90,2014-10-15,5043.931192361521,1544.8198233019152,8598.88220083196
91,2014-10-16,5051.090121970431,1529.5694684439834,8722.051808317141
92,2014-10-17,5058.24905157934,1460.7539871537294,8787.032618113828
93,2014-10-18,5065.4079811882475,1448.1876764206186,8857.352365098137
94,2014-10-19,5072.566910797156,1373.786925868385,8951.98063144397
95,2014-10-20,5079.725840406065,1321.2451015731508,9020.674082560636
96,2014-10-21,5086.884770014974,1260.8388216079134,9102.27985888781
97,2014-10-22,5094.043699623882,1184.384879499333,9177.62575508884
98,2014-10-23,5101.20262923279,1094.6621323015363,9244.698341289308
99,2014-10-24,5108.361558841699,1057.1732967345622,9317.600162942386
100,2014-10-25,5115.520488450608,997.2386213020721,9387.983450974014
101,2014-10-26,5122.679418059516,926.7674482888075,9459.775231588197
102,2014-10-27,5129.838347668425,887.5682836566905,9490.958324013021
103,2014-10-28,5136.9972772773335,858.6351028139629,9569.726248682015
104,2014-10-29,5144.156206886242,799.7661987828432,9673.933715533605
105,2014-10-30,5151.315136495151,756.525876341106,9709.650089773484
106,2014-10-31,5158.47406610406,671.0248910500615,9778.538327295139
107,2014-11-01,5165.632995712967,626.5779632426297,9828.656922938113
108,2014-11-02,5172.791925321876,573.2535000156555,9916.838067191708
109,2014-11-03,5179.950854930786,506.54727447432043,9994.748886290206
110,2014-11-04,5187.1097845396935,432.28796673038903,10043.402102294805
111,2014-11-05,5194.268714148602,385.6785379433996,10122.585041872015
112,2014-11-06,5201.427643757511,325.7604625268534,10195.444004432738
113,2014-11-07,5208.5865733664195,306.40631274510815,10294.370192968614
114,2014-11-08,5215.745502975328,223.25486974488547,10368.376457799279
115,2014-11-09,5222.904432584237,160.79555594872105,10443.440451867644
116,2014-11-10,5230.063362193145,104.13443615791307,10473.982667112963
117,2014-11-11,5237.222291801946,25.432739614569886,10576.233472285676
118,2014-11-12,5244.381221410962,-63.19252299151716,10637.455835508996
119,2014-11-13,5251.540151019871,-158.4351599415472,10731.734253219383
120,2014-11-14,5258.6990806287795,-226.85030111685103,10812.765269658614
121,2014-11-15,5265.858010237687,-329.10624373105276,10888.722737682936
122,2014-11-16,5273.016939846597,-390.662589777098,10960.460000737992
123,2014-11-17,5280.175869455506,-477.73084209668093,11025.138200693787
124,2014-11-18,5287.334799064413,-537.6133312066821,11115.85864096628
125,2014-11-19,5294.493728673323,-593.530802780236,11181.453080780771
126,2014-11-20,5301.652658282232,-678.1272552580415,11272.689496412033
127,2014-11-21,5308.811587891139,-756.3823764474895,11333.794529117094
128,2014-11-22,5315.970517500048,-806.6273521189005,11384.03332697052
129,2014-11-23,5323.129447108957,-896.105588902105,11426.92570715677
130,2014-11-24,5330.2883767178655,-957.4917165664914,11526.561726834141
131,2014-11-25,5337.447306326774,-1021.7493832219639,11586.766348497025
132,2014-11-26,5344.606235935683,-1076.3134991741836,11694.877517776007
133,2014-11-27,5351.765165544482,-1154.1313231515212,11774.637092783372
134,2014-11-28,5358.9240951535,-1256.0680085635474,11899.203440256122
135,2014-11-29,5366.083024762409,-1332.0644015682806,11984.63911593875
136,2014-11-30,5373.241954371317,-1375.1089279666246,12082.49447689987
137,2014-12-01,5380.400883980225,-1471.4501701229574,12162.028168663945
138,2014-12-02,5387.559813589133,-1551.477208288433,12194.8471630977
