,ds,yhat,yhat_lower,yhat_upper
0,2014-07-15,1926.7571974537182,1860.3197041504263,1987.4904400910636
1,2014-07-16,1931.3738221973397,1868.7105574541151,1994.6436922387736
2,2014-07-17,1934.6592967417885,1868.579774333842,2001.4534750771593
3,2014-07-18,1939.2715579622566,1876.8230673480516,2004.7391972602995
4,2014-07-21,1947.4166624350107,1879.523209440909,2013.6260762898617
5,2014-07-22,1953.506655995564,1889.300489587386,2014.5939411437023
6,2014-07-23,1956.0352131136876,1889.6518670591608,2023.2152944939203
7,2014-07-24,1957.125885914586,1892.974144467987,2023.7098648173458
8,2014-07-25,1959.476916726373,1894.6778380188,2024.637800735597
9,2014-07-28,1960.840676375692,1896.1761381217289,2032.1783547050823
10,2014-07-29,1964.797289852175,1901.0299856446834,2034.362843586033
11,2014-07-30,1965.3124301031137,1903.7737042370438,2027.5171532025122
12,2014-07-31,1964.5379059528952,1894.906957213337,2029.1632316940272
13,2014-08-01,1965.1956458337527,1903.886072922498,2030.10081787777
14,2014-08-04,1962.67143160781,1896.6062641868343,2025.8911150513482
15,2014-08-05,1965.7561305194163,1902.3931841175176,2027.3202142375023
16,2014-08-06,1965.6114981177839,1901.1179695369804,2030.211570349743
17,2014-08-07,1964.3818779536505,1901.399703134263,2033.8010689694493
18,2014-08-08,1964.7772568738803,1898.4714941332497,2034.8030607150397
19,2014-08-11,1962.447772378632,1898.7410580111557,2031.5339985902544
20,2014-08-12,1965.8527962553715,1903.9908199773886,2037.1843419444851
21,2014-08-13,1966.1160536030686,1899.782702629656,2031.522354837613
22,2014-08-14,1965.3569051841014,1895.7781312619531,2031.8460850561653
23,2014-08-15,1966.260830931561,1901.2704351558173,2028.661587663747
24,2014-08-18,1965.462123250375,1900.8260103958307,2030.3640557446631
25,2014-08-19,1969.3161134788013,1904.325652289377,2035.2300058182204
26,2014-08-20,1969.9735533684684,1903.0686005612915,2029.0947017821957
27,2014-08-21,1969.544419083661,1901.3409682135975,2036.1894781157087
28,2014-08-22,1970.708431827738,1909.5968372121888,2037.7515450347064
29,2014-08-25,1970.2662892042497,1907.3113046106357,2038.236821215352
30,2014-08-26,1974.1129272132616,1911.4115309538106,2040.6976841212104
31,2014-08-27,1974.7144196485349,1910.4736102515783,2040.0967009765318
32,2014-08-28,1974.192671107504,1911.9481379487388,2039.1510252072999
33,2014-08-29,1975.2407029521155,1916.144365045262,2042.449775675308
34,2014-09-02,1978.2269442667923,1910.9730680007046,2046.0328728609607
35,2014-09-03,1978.7998090470787,1912.3737062307116,2042.5535644769686
36,2014-09-04,1978.3002862937317,1915.0722945349517,2045.9948269749589
37,2014-09-05,1979.4276156504109,1914.174589460396,2047.1117692240753
38,2014-09-08,1979.236111798569,1909.6448637660346,2040.9813600431532
39,2014-09-09,1983.3217748257027,1917.5729097392575,2053.4843978433414
40,2014-09-10,1984.2468465337377,1915.0334076241284,2050.4479428065447
41,2014-09-11,1984.1300758336138,1914.1669959698622,2050.8602655516124
42,2014-09-12,1985.656328831392,1918.2102129671707,2047.7400298830883
43,2014-09-15,1986.5882163545125,1921.1820789126355,2053.482384012136
44,2014-09-16,1990.9621570471315,1926.1713993861342,2057.479197360198
45,2014-09-17,1992.1012960273033,1927.2389988856046,2060.147568236328
46,2014-09-18,1992.1069456891082,1929.6317692737625,2061.94436084921
47,2014-09-19,1993.6482730545088,1926.7388076110403,2062.7807401324344
48,2014-09-22,1993.8627674051945,1923.2857363586022,2059.795653956356
49,2014-09-23,1997.7201625344085,1929.5834111972322,2066.6180958372634
50,2014-09-24,1998.2019186531145,1935.9502904093883,2065.059166487569
51,2014-09-25,1997.4142470453,1930.4073922169694,2065.791857950009
52,2014-09-26,1998.0354362252535,1934.5856559253928,2056.1371123103154
53,2014-09-29,1994.8803234959314,1929.0414936162517,2057.5957257951277
54,2014-09-30,1997.480084384229,1939.4128072192907,2065.627457247092
55,2014-10-01,1996.6787534505834,1933.1370622719098,2060.2819145361664
56,2014-10-02,1994.6108393872496,1931.4437663963258,2058.336293979088
57,2014-10-03,1993.98412061873,1931.209549422268,2059.0776355673574
58,2014-10-06,1987.5758505434999,1921.9691275396244,2051.072844075816
59,2014-10-07,1989.3486049361488,1925.4472437238119,2058.1371141187606
60,2014-10-08,1987.8906794554275,1920.2177814463803,2054.7987376885358
61,2014-10-09,1985.3569883609302,1914.8818867783943,2049.377991027625
62,2014-10-10,1984.4717591491524,1918.9112264898115,2053.745400296063
63,2014-10-13,1992.7902488494267,1925.2953001942979,2059.038703697079
64,2014-10-14,1981.0409013590893,1918.8511227136962,2051.7843701551387
65,2014-10-15,1980.4410717242229,1916.376663283554,2047.257058207948
66,2014-10-16,1978.9691779125162,1910.1940335002155,2048.9605500821694
67,2014-10-17,1979.331369334628,1914.7336773818674,2050.6979491792854
68,2014-10-20,1978.1006911241711,1910.1373768806907,2048.0298273816475
69,2014-10-21,1982.2462287937744,1917.6811638517227,2049.4397321801302
70,2014-10-22,1983.4210449106722,1918.176088086383,2054.881044540738
71,2014-10-23,1983.732693650824,1916.4924353411595,2046.1101026823922
72,2014-10-24,1985.8534080329218,1917.179347344723,2046.705304214941
73,2014-10-27,1989.4281118221634,1923.1038767017005,2057.891986059431
74,2014-10-28,1994.923880297196,1921.9658758848168,2057.048615181774
75,2014-10-29,1997.2840749254206,1931.8147821434534,2064.4378645737447
76,2014-10-30,1998.599000784722,1932.1134988384504,2063.398096365114
77,2014-10-31,2001.528345525176,1936.2893046818508,2068.2487578609885
78,2014-11-03,2006.3101454413788,1940.1502752419153,2073.0866580019047
79,2014-11-04,2011.8099044183962,1947.8758392241587,2081.539014748346
80,2014-11-05,2013.9906349148614,1945.911000176626,2081.3329809855477
81,2014-11-06,2014.9583999955532,1951.394202322378,2085.9163331720556
82,2014-11-07,2017.392134361471,1948.4274687898471,2087.7118509636966
83,2014-11-10,2020.0271299064982,1956.3770694799084,2084.7614891328462
84,2014-11-11,2035.8893985063075,1967.9343830371977,2098.841918240678
85,2014-11-12,2025.9805637174832,1959.056412286473,2092.9821323153574
86,2014-11-13,2026.0726146952143,1960.619142728579,2093.579620111615
87,2014-11-14,2027.653765934119,1966.1670121217073,2094.503487526542
88,2014-11-17,2028.059094236016,1966.0217855785613,2096.8714792722944
89,2014-11-18,2032.1196767976369,1967.789876960089,2095.8788582963452
90,2014-11-19,2032.9272468334148,1967.0702005119952,2099.5355426446326
91,2014-11-20,2032.6141232820644,1965.8879445988198,2100.5590053254405
92,2014-11-21,2033.8794409991742,1967.9764135407502,2098.406295894863
93,2014-11-24,2033.7860037962575,1962.661319400918,2098.363572756078
94,2014-11-25,2037.7837029856357,1971.4206089979061,2100.6166323259836
95,2014-11-26,2038.5502925781357,1969.5303918866293,2105.6401266223947
96,2014-11-28,2039.4035325607126,1978.7893813581948,2105.707400512989
97,2014-12-01,2038.8071257406145,1970.6518037964338,2099.3713244087135
98,2014-12-02,2042.467726820499,1978.1656273119627,2105.8693993440475
99,2014-12-03,2042.788230300426,1979.4515313206648,2107.5110826915266
100,2014-12-04,2041.8710273926104,1975.7148543823532,2110.3020897303822
101,2014-12-05,2042.388751999045,1976.3128157855986,2108.193964794458
102,2014-12-08,2039.0010080821205,1972.7494918677785,2104.3915564270546
103,2014-12-09,2041.5178088858906,1978.723370693692,2104.5767022786845
104,2014-12-10,2040.6138567739395,1969.3029790662551,2107.1695330034804
105,2014-12-11,2038.413540727971,1973.1354083330261,2101.9629102305535
106,2014-12-12,2037.6151114937043,1975.625778505797,2104.227351402771
107,2014-12-15,2030.3773215226033,1963.6388069608606,2098.4667843096377
108,2014-12-16,2031.7504872468703,1967.6444509550001,2100.4148990439057
109,2014-12-17,2029.8271762036043,1965.7070169933918,2094.6241882513464
110,2014-12-18,2026.7630833690887,1957.7207712614927,2092.0347310753805
111,2014-12-19,2025.285582866067,1957.883709472563,2094.5463135522878
112,2014-12-22,2017.359425954426,1952.9010033451784,2088.8508865910594
113,2014-12-23,2019.0108636106067,1960.3897971184138,2085.2231897971674
114,2014-12-24,2017.6355917268268,1954.2000657148367,2083.5629274978987
115,2014-12-26,2014.9962272873547,1947.4284974182729,2082.630975485741
116,2014-12-29,2011.7658444400608,1946.1274981161073,2077.519113049035
117,2014-12-30,2015.3868060219245,1952.5084758025919,2085.014189521228
118,2014-12-31,2016.1318338095348,1952.1120009663487,2084.1969260377095
119,2015-01-02,2018.0342682173828,1952.374851787663,2081.7415643136433
120,2015-01-05,2021.7449064387108,1950.5578676802384,2089.6326916549597
121,2015-01-06,2027.5431148518755,1955.4998184026829,2091.7075805907157
122,2015-01-07,2028.3446438147505,1962.365037090002,2091.783451896644
123,2015-01-08,2028.216981583975,1960.7522379839497,2093.8301670669057
124,2015-01-09,2029.8095666785957,1967.2316496698284,2093.8851230228415
125,2015-01-12,2031.0781457756125,1961.9209733285538,2095.2606223422513
126,2015-01-13,2035.5175574411517,1970.6059486901452,2099.343092019919
