,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-14,74.81699106329577,73.77805249460135,80.13865003538783,74.81699106329577,74.81699106329577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1939672074706515,2.1939672074706515,2.1939672074706515,0.0,0.0,0.0,0.22628730041602677,0.22628730041602677,0.22628730041602677,1.967679907054625,1.967679907054625,1.967679907054625,0.0,0.0,0.0,77.01095827076642
1,2014-07-15,74.78848328623832,74.22861377546424,80.1838848246211,74.78848328623832,74.78848328623832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3411688061314795,2.3411688061314795,2.3411688061314795,0.0,0.0,0.0,0.3516659088982861,0.3516659088982861,0.3516659088982861,1.9895028972331934,1.9895028972331934,1.9895028972331934,0.0,0.0,0.0,77.1296520923698
2,2014-07-16,74.75997550918089,73.84184657778496,80.29956211343597,74.75997550918089,74.75997550918089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3919740208523987,2.3919740208523987,2.3919740208523987,0.0,0.0,0.0,0.3872772005662428,0.3872772005662428,0.3872772005662428,2.004696820286156,2.004696820286156,2.004696820286156,0.0,0.0,0.0,77.15194953003329
3,2014-07-17,74.73146773212345,73.94190272518829,80.16710183516531,74.73146773212345,74.73146773212345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.306739835630026,2.306739835630026,2.306739835630026,0.0,0.0,0.0,0.2938814102767309,0.2938814102767309,0.2938814102767309,2.0128584253532953,2.0128584253532953,2.0128584253532953,0.0,0.0,0.0,77.03820756775347
4,2014-07-18,74.70295995506602,73.73008110964535,80.03290402480512,74.70295995506602,74.70295995506602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.305802197257901,2.305802197257901,2.305802197257901,0.0,0.0,0.0,0.2921445473665846,0.2921445473665846,0.2921445473665846,2.0136576498913166,2.0136576498913166,2.0136576498913166,0.0,0.0,0.0,77.00876215232392
5,2014-07-21,74.6174366238937,73.64150718678835,79.70290617257581,74.6174366238937,74.6174366238937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.196187397661958,2.196187397661958,2.196187397661958,0.0,0.0,0.0,0.22628730041595935,0.22628730041595935,0.22628730041595935,1.969900097245999,1.969900097245999,1.969900097245999,0.0,0.0,0.0,76.81362402155565
6,2014-07-22,74.58892884683625,73.74598684328214,79.7197048694223,74.58892884683625,74.58892884683625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2914390894414267,2.2914390894414267,2.2914390894414267,0.0,0.0,0.0,0.35166590889803306,0.35166590889803306,0.35166590889803306,1.9397731805433938,1.9397731805433938,1.9397731805433938,0.0,0.0,0.0,76.88036793627768
7,2014-07-23,74.56042106977881,73.72703485557288,79.96671436443317,74.56042106977881,74.56042106977881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.289352788778268,2.289352788778268,2.289352788778268,0.0,0.0,0.0,0.38727720056640724,0.38727720056640724,0.38727720056640724,1.902075588211861,1.902075588211861,1.902075588211861,0.0,0.0,0.0,76.84977385855709
8,2014-07-24,74.53191329272137,73.61237054094207,79.98517994141487,74.53191329272137,74.53191329272137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.150985870485158,2.150985870485158,2.150985870485158,0.0,0.0,0.0,0.2938814102769373,0.2938814102769373,0.2938814102769373,1.8571044602082205,1.8571044602082205,1.8571044602082205,0.0,0.0,0.0,76.68289916320653
9,2014-07-25,74.50340551566393,73.36393909421282,79.68870900840953,74.50340551566393,74.50340551566393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.097422799458073,2.097422799458073,2.097422799458073,0.0,0.0,0.0,0.2921445473665548,0.2921445473665548,0.2921445473665548,1.8052782520915183,1.8052782520915183,1.8052782520915183,0.0,0.0,0.0,76.600828315122
