,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-14,189554.29325144828,178553.5899039616,195131.1690346846,189554.29325144828,189554.29325144828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2570.6641892915895,-2570.6641892915895,-2570.6641892915895,0.0,0.0,0.0,-643.7561849217348,-643.7561849217348,-643.7561849217348,-1926.9080043698548,-1926.9080043698548,-1926.9080043698548,0.0,0.0,0.0,186983.6290621567
1,2014-07-15,189756.00163029734,179052.21453193322,195969.20390987425,189756.00163029734,189756.00163029734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2061.9946609169515,-2061.9946609169515,-2061.9946609169515,0.0,0.0,0.0,-412.5370332616776,-412.5370332616776,-412.5370332616776,-1649.4576276552739,-1649.4576276552739,-1649.4576276552739,0.0,0.0,0.0,187694.0069693804
2,2014-07-16,189957.7100091464,179944.4634827458,196836.6836074788,189957.7100091464,189957.7100091464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1706.5127186443478,-1706.5127186443478,-1706.5127186443478,0.0,0.0,0.0,-336.5768820957782,-336.5768820957782,-336.5768820957782,-1369.9358365485696,-1369.9358365485696,-1369.9358365485696,0.0,0.0,0.0,188251.19729050205
3,2014-07-17,190159.41838799548,179876.2523442484,197563.50283606432,190159.41838799548,190159.41838799548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1539.381301812428,-1539.381301812428,-1539.381301812428,0.0,0.0,0.0,-449.8824837627553,-449.8824837627553,-449.8824837627553,-1089.4988180496728,-1089.4988180496728,-1089.4988180496728,0.0,0.0,0.0,188620.03708618306
4,2014-07-18,190361.12676684454,180559.73871699438,197403.84560535473,190361.12676684454,190361.12676684454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1447.9362218497631,-1447.9362218497631,-1447.9362218497631,0.0,0.0,0.0,-638.7358603883506,-638.7358603883506,-638.7358603883506,-809.2003614614125,-809.2003614614125,-809.2003614614125,0.0,0.0,0.0,188913.19054499478
5,2014-07-21,190966.25190339176,181813.76002415954,198816.95531212183,190966.2519033918,190966.2519033918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-621.6070714548297,-621.6070714548297,-621.6070714548297,0.0,0.0,0.0,-643.7561849215352,-643.7561849215352,-643.7561849215352,22.149113466705572,22.149113466705572,22.149113466705572,0.0,0.0,0.0,190344.64483193692
6,2014-07-22,191167.96028224082,182382.9029401588,199488.34460784533,191167.96028224082,191167.96028224082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118.69974168316165,-118.69974168316165,-118.69974168316165,0.0,0.0,0.0,-412.537033260974,-412.537033260974,-412.537033260974,293.8372915778124,293.8372915778124,293.8372915778124,0.0,0.0,0.0,191049.26054055765
7,2014-07-23,191369.66866108988,182812.50792659973,200236.14641251566,191369.66866108988,191369.66866108988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.44259414494005,225.44259414494005,225.44259414494005,0.0,0.0,0.0,-336.5768820956825,-336.5768820956825,-336.5768820956825,562.0194762406226,562.0194762406226,562.0194762406226,0.0,0.0,0.0,191595.1112552348
8,2014-07-24,191571.37703993893,183788.59788798983,200623.0680457428,191571.37703993893,191571.37703993893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.5244746848796,376.5244746848796,376.5244746848796,0.0,0.0,0.0,-449.88248376347536,-449.88248376347536,-449.88248376347536,826.4069584483549,826.4069584483549,826.4069584483549,0.0,0.0,0.0,191947.9015146238
9,2014-07-25,191773.08541878802,184005.63281434157,201048.72250386406,191773.08541878802,191773.08541878802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0827134523874,448.0827134523874,448.0827134523874,0.0,0.0,0.0,-638.735860388562,-638.735860388562,-638.735860388562,1086.8185738409493,1086.8185738409493,1086.8185738409493,0.0,0.0,0.0,192221.16813224042
