,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-14,70.37865914922509,66.45121037500041,77.41846056028707,70.37865914922509,70.37865914922509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7521476435488423,1.7521476435488423,1.7521476435488423,0.0,0.0,0.0,-0.027724511845850154,-0.027724511845850154,-0.027724511845850154,1.7798721553946926,1.7798721553946926,1.7798721553946926,0.0,0.0,0.0,72.13080679277392
1,2014-07-15,70.47989839324944,67.02037893688171,76.94676248345746,70.47989839324944,70.47989839324944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5834592249463844,1.5834592249463844,1.5834592249463844,0.0,0.0,0.0,-0.26293106780142944,-0.26293106780142944,-0.26293106780142944,1.8463902927478137,1.8463902927478137,1.8463902927478137,0.0,0.0,0.0,72.06335761819582
2,2014-07-16,70.58113763727383,67.130990553052,77.29938406291878,70.58113763727383,70.58113763727383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7298633882051202,1.7298633882051202,1.7298633882051202,0.0,0.0,0.0,-0.16133088421074146,-0.16133088421074146,-0.16133088421074146,1.8911942724158615,1.8911942724158615,1.8911942724158615,0.0,0.0,0.0,72.31100102547894
3,2014-07-17,70.68237688129818,67.19144665446348,77.4607042809896,70.68237688129818,70.68237688129818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7968938426398435,1.7968938426398435,1.7968938426398435,0.0,0.0,0.0,-0.11601052010419421,-0.11601052010419421,-0.11601052010419421,1.9129043627440374,1.9129043627440374,1.9129043627440374,0.0,0.0,0.0,72.47927072393803
4,2014-07-18,70.78361612532255,67.76279631411022,77.96988240718586,70.78361612532255,70.78361612532255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8837471887328787,1.8837471887328787,1.8837471887328787,0.0,0.0,0.0,-0.026937119367509234,-0.026937119367509234,-0.026937119367509234,1.9106843081003881,1.9106843081003881,1.9106843081003881,0.0,0.0,0.0,72.66736331405544
5,2014-07-21,71.08733385739566,67.53812869412312,77.99927787764024,71.08733385739566,71.08733385739566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7328289356435993,1.7328289356435993,1.7328289356435993,0.0,0.0,0.0,-0.027724511846083263,-0.027724511846083263,-0.027724511846083263,1.7605534474896827,1.7605534474896827,1.7605534474896827,0.0,0.0,0.0,72.82016279303926
6,2014-07-22,71.18857310142005,67.43200324826654,77.65816436241673,71.18857310142005,71.18857310142005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4025912538802308,1.4025912538802308,1.4025912538802308,0.0,0.0,0.0,-0.2629310678014134,-0.2629310678014134,-0.2629310678014134,1.6655223216816444,1.6655223216816444,1.6655223216816444,0.0,0.0,0.0,72.59116435530028
7,2014-07-23,71.2898123454444,67.96870560565809,77.83352119434475,71.2898123454444,71.2898123454444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3894069061235896,1.3894069061235896,1.3894069061235896,0.0,0.0,0.0,-0.16133088421111283,-0.16133088421111283,-0.16133088421111283,1.5507377903347024,1.5507377903347024,1.5507377903347024,0.0,0.0,0.0,72.67921925156799
8,2014-07-24,71.39105158946877,67.82320198582552,77.6435338213455,71.39105158946877,71.39105158946877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3025437839264904,1.3025437839264904,1.3025437839264904,0.0,0.0,0.0,-0.1160105201041532,-0.1160105201041532,-0.1160105201041532,1.4185543040306436,1.4185543040306436,1.4185543040306436,0.0,0.0,0.0,72.69359537339527
9,2014-07-25,71.49229083349316,67.47438410316609,78.01730197047326,71.49229083349316,71.49229083349316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2447852454229087,1.2447852454229087,1.2447852454229087,0.0,0.0,0.0,-0.026937119367256616,-0.026937119367256616,-0.026937119367256616,1.2717223647901652,1.2717223647901652,1.2717223647901652,0.0,0.0,0.0,72.73707607891606
