,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-14,16371.406476332035,16030.932095632756,17323.629195004225,16371.406476332035,16371.406476332035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.39321014724175,315.39321014724175,315.39321014724175,0.0,0.0,0.0,-140.60673691432237,-140.60673691432237,-140.60673691432237,455.9999470615641,455.9999470615641,455.9999470615641,0.0,0.0,0.0,16686.799686479277
1,2014-07-15,16381.26397917078,16074.206881381448,17328.321042249016,16381.26397917078,16381.26397917078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.1000622012349,369.1000622012349,369.1000622012349,0.0,0.0,0.0,-108.75096190095617,-108.75096190095617,-108.75096190095617,477.8510241021911,477.8510241021911,477.8510241021911,0.0,0.0,0.0,16750.364041372017
2,2014-07-16,16391.121482009527,16174.384983096379,17404.640965020662,16391.121482009527,16391.121482009527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.1147249966658,385.1147249966658,385.1147249966658,0.0,0.0,0.0,-112.50909743004432,-112.50909743004432,-112.50909743004432,497.62382242671015,497.62382242671015,497.62382242671015,0.0,0.0,0.0,16776.236207006194
3,2014-07-17,16400.978984848272,16193.18402353655,17451.497367817447,16400.978984848272,16400.978984848272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.81252133601265,395.81252133601265,395.81252133601265,0.0,0.0,0.0,-119.21369899631479,-119.21369899631479,-119.21369899631479,515.0262203323274,515.0262203323274,515.0262203323274,0.0,0.0,0.0,16796.791506184287
4,2014-07-18,16410.83648768702,16170.173092880917,17471.336260797038,16410.83648768702,16410.83648768702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.79818494725254,411.79818494725254,411.79818494725254,0.0,0.0,0.0,-118.0182001691276,-118.0182001691276,-118.0182001691276,529.8163851163802,529.8163851163802,529.8163851163802,0.0,0.0,0.0,16822.63467263427
5,2014-07-21,16440.40899620326,16256.315566844107,17417.590846559335,16440.40899620326,16440.40899620326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.33731928474305,416.33731928474305,416.33731928474305,0.0,0.0,0.0,-140.60673691431006,-140.60673691431006,-140.60673691431006,556.9440561990531,556.9440561990531,556.9440561990531,0.0,0.0,0.0,16856.746315488002
6,2014-07-22,16450.266499042005,16337.865736692207,17530.866923725145,16450.266499042005,16450.266499042005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.26513396504083,451.26513396504083,451.26513396504083,0.0,0.0,0.0,-108.75096190082914,-108.75096190082914,-108.75096190082914,560.01609586587,560.01609586587,560.01609586587,0.0,0.0,0.0,16901.531633007045
7,2014-07-23,16460.124001880755,16259.701747165223,17555.35483154874,16460.124001880755,16460.124001880755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.6336595624035,447.6336595624035,447.6336595624035,0.0,0.0,0.0,-112.50909743001152,-112.50909743001152,-112.50909743001152,560.1427569924151,560.1427569924151,560.1427569924151,0.0,0.0,0.0,16907.75766144316
8,2014-07-24,16469.9815047195,16244.772228057944,17496.587781273432,16469.9815047195,16469.9815047195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.2213836126645,438.2213836126645,438.2213836126645,0.0,0.0,0.0,-119.21369899645411,-119.21369899645411,-119.21369899645411,557.4350826091187,557.4350826091187,557.4350826091187,0.0,0.0,0.0,16908.202888332165
9,2014-07-25,16479.839007558247,16248.832074500666,17547.972244783366,16479.839007558247,16479.839007558247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.03874264002405,434.03874264002405,434.03874264002405,0.0,0.0,0.0,-118.01820016917195,-118.01820016917195,-118.01820016917195,552.056942809196,552.056942809196,552.056942809196,0.0,0.0,0.0,16913.87775019827
