,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-14,170.37976016153186,165.12811024152757,192.03130088979185,170.37976016153186,170.37976016153186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.913415035103244,7.913415035103244,7.913415035103244,0.0,0.0,0.0,0.8576489956894672,0.8576489956894672,0.8576489956894672,7.055766039413777,7.055766039413777,7.055766039413777,0.0,0.0,0.0,178.2931751966351
1,2014-07-15,170.49229948800894,167.59695435100522,190.92337010338554,170.49229948800894,170.49229948800894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.542548298156294,8.542548298156294,8.542548298156294,0.0,0.0,0.0,1.313870988039574,1.313870988039574,1.313870988039574,7.22867731011672,7.22867731011672,7.22867731011672,0.0,0.0,0.0,179.03484778616524
2,2014-07-16,170.60483881448602,167.14906230679617,191.1681216363334,170.60483881448602,170.60483881448602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.715279547162124,8.715279547162124,8.715279547162124,0.0,0.0,0.0,1.3395043501216142,1.3395043501216142,1.3395043501216142,7.375775197040511,7.375775197040511,7.375775197040511,0.0,0.0,0.0,179.32011836164813
3,2014-07-17,170.71737814096306,166.81681543604296,192.11493498625927,170.7173781409631,170.7173781409631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.744668825929477,8.744668825929477,8.744668825929477,0.0,0.0,0.0,1.249161977724754,1.249161977724754,1.249161977724754,7.495506848204723,7.495506848204723,7.495506848204723,0.0,0.0,0.0,179.46204696689253
4,2014-07-18,170.82991746744014,167.45024872682973,192.53954951920724,170.82991746744014,170.82991746744014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57198423211798,8.57198423211798,8.57198423211798,0.0,0.0,0.0,0.9852409591821343,0.9852409591821343,0.9852409591821343,7.586743272935845,7.586743272935845,7.586743272935845,0.0,0.0,0.0,179.40190169955812
5,2014-07-21,171.16753544687134,168.32646600248935,192.8836927708654,171.16753544687134,171.16753544687134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.542601082663436,8.542601082663436,8.542601082663436,0.0,0.0,0.0,0.8576489956896965,0.8576489956896965,0.8576489956896965,7.684952086973739,7.684952086973739,7.684952086973739,0.0,0.0,0.0,179.71013652953476
6,2014-07-22,171.28007477334842,168.35742863663245,192.4040486111587,171.28007477334842,171.28007477334842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.973838541005344,8.973838541005344,8.973838541005344,0.0,0.0,0.0,1.3138709880387294,1.3138709880387294,1.3138709880387294,7.659967552966615,7.659967552966615,7.659967552966615,0.0,0.0,0.0,180.25391331435375
7,2014-07-23,171.39261409982547,167.77362338525012,193.04306683924003,171.39261409982547,171.39261409982547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.94712847424907,8.94712847424907,8.94712847424907,0.0,0.0,0.0,1.3395043501218133,1.3395043501218133,1.3395043501218133,7.607624124127256,7.607624124127256,7.607624124127256,0.0,0.0,0.0,180.33974257407453
8,2014-07-24,171.50515342630254,168.3578784307115,192.807928230532,171.50515342630254,171.50515342630254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.778602642119234,8.778602642119234,8.778602642119234,0.0,0.0,0.0,1.249161977725527,1.249161977725527,1.249161977725527,7.529440664393706,7.529440664393706,7.529440664393706,0.0,0.0,0.0,180.28375606842178
9,2014-07-25,171.61769275277962,168.60738919919007,192.28622309216237,171.61769275277962,171.61769275277962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.412537872633377,8.412537872633377,8.412537872633377,0.0,0.0,0.0,0.9852409591817228,0.9852409591817228,0.9852409591817228,7.427296913451654,7.427296913451654,7.427296913451654,0.0,0.0,0.0,180.030230625413
