,ds,trend,trend_lower,trend_upper,yhat,yhat_lower,yhat_upper
0,2014-07-14,4123.8518415752105,4123.8518415752105,4123.8518415752105,4346.70574538921,4114.09451602412,4563.784909263188
1,2014-07-15,4129.156842474264,4129.156842474264,4129.156842474264,4371.629861707423,4139.505683503212,4589.58780277196
2,2014-07-16,4134.461843373317,4134.461843373317,4134.461843373317,4385.315903027334,4165.581574038497,4616.586851563759
3,2014-07-17,4139.76684427237,4139.76684427237,4139.76684427237,4393.2210551713215,4167.854628242363,4601.342309271906
4,2014-07-18,4145.071845171422,4145.071845171422,4145.071845171422,4405.811463203809,4182.710232246762,4607.35978725832
5,2014-07-21,4160.986847868581,4160.986847868581,4160.986847868581,4427.125547785383,4181.220564471847,4644.4858988189335
6,2014-07-22,4166.291848767634,4166.291848767634,4166.291848767634,4445.63264876455,4225.929839829747,4660.394485269794
7,2014-07-23,4171.596849666687,4171.596849666687,4171.596849666687,4452.451346251591,4232.477740007894,4668.038351246161
8,2014-07-24,4176.9018505657405,4176.9018505657405,4176.9018505657405,4453.1723854771235,4232.30144059719,4652.690863491115
9,2014-07-25,4182.2068514647935,4182.2068514647935,4182.2068514647935,4458.398992792,4233.980918170391,4666.511698597098
10,2014-07-28,4198.121854161953,4198.121854161953,4198.121854161953,4457.898235863692,4237.624178068494,4683.17575299976
11,2014-07-29,4203.426855061005,4203.426855061005,4203.426855061005,4469.650206541871,4250.752102398264,4703.290858859799
12,2014-07-30,4208.731855960058,4208.731855960058,4208.731855960058,4470.160604221589,4250.915769126552,4693.788988428523
13,2014-07-31,4214.03685685911,4214.03685685911,4214.03685685911,4465.114096997365,4261.458721293324,4678.265124932032
14,2014-08-01,4219.341857758164,4219.341857758164,4219.341857758164,4465.192329972253,4242.204885244843,4676.410059108619
15,2014-08-04,4235.256860455323,4235.256860455323,4235.256860455323,4453.48842729094,4233.606839262282,4665.306478636347
16,2014-08-05,4240.561861354377,4240.561861354377,4240.561861354377,4463.006143538813,4246.620725450272,4686.239523136391
17,2014-08-06,4245.866862253429,4245.866862253429,4245.866862253429,4462.03101430476,4244.275140164431,4672.4014260451995
18,2014-08-07,4251.171863152482,4251.171863152482,4251.171863152482,4456.221759898168,4226.675245567931,4688.100134418027
19,2014-08-08,4256.476864051534,4256.476864051534,4256.476864051534,4456.219092191801,4238.5975204996985,4687.564994827444
20,2014-08-11,4272.391866748693,4272.391866748693,4272.391866748693,4447.768162029891,4218.653134211565,4671.8859552668155
21,2014-08-12,4277.696867647746,4277.696867647746,4277.696867647746,4459.290160674105,4238.181551161642,4673.335937482936
22,2014-08-13,4283.0018685468,4283.0018685468,4283.0018685468,4460.641619160135,4226.685992875609,4674.037114454261
23,2014-08-14,4288.3068694458525,4288.3068694458525,4288.3068694458525,4457.394830047069,4247.105160719993,4682.001723391228
24,2014-08-15,4293.611870344906,4293.611870344906,4293.611870344906,4460.104943993723,4239.957454120989,4680.396200123864
25,2014-08-18,4309.526873042065,4309.526873042065,4309.526873042065,4459.898121924691,4237.49451087405,4680.428344940614
26,2014-08-19,4314.831873941117,4314.831873941117,4314.831873941117,4473.971199118404,4253.304483284198,4700.865342036326
27,2014-08-20,4320.13687484017,4320.13687484017,4320.13687484017,4477.68104008642,4272.912588186357,4694.469416835428
28,2014-08-21,4325.441875739223,4325.441875739223,4325.441875739223,4476.558776118046,4260.891735637861,4698.731672964941
29,2014-08-22,4330.746876638276,4330.746876638276,4330.746876638276,4481.129449685955,4261.9185778338915,4699.97951475811
30,2014-08-25,4346.6618793354355,4346.6618793354355,4346.6618793354355,4484.784285174899,4250.698266124487,4720.823533212476
31,2014-08-26,4351.966880234489,4351.966880234489,4351.966880234489,4499.577183012374,4281.601237114231,4715.689682211632
32,2014-08-27,4357.271881133541,4357.271881133541,4357.271881133541,4503.74852495352,4295.067270067125,4717.47669861695
33,2014-08-28,4362.576882032594,4362.576882032594,4362.576882032594,4502.855422039409,4293.74142840114,4709.495187365468
34,2014-08-29,4367.881882931647,4367.881882931647,4367.881882931647,4507.453901088156,4291.648784851087,4739.536391222796
35,2014-09-02,4389.101886527859,4389.101886527859,4389.101886527859,4524.697621413777,4308.90376740736,4757.952734531966
36,2014-09-03,4394.406887426911,4394.406887426911,4394.406887426911,4528.40942222137,4322.048507030986,4749.51903513352
37,2014-09-04,4399.7118883259645,4399.7118883259645,4399.7118883259645,4527.050939719476,4298.289109126716,4727.478575251634
38,2014-09-05,4405.016889225018,4405.016889225018,4405.016889225018,4531.198032239689,4304.676517798104,4749.644303898432
39,2014-09-08,4420.931891922177,4420.931891922177,4420.931891922177,4532.902096145263,4314.5682567608455,4754.125756789062
40,2014-09-09,4426.236892821229,4426.236892821229,4426.236892821229,4546.930295161314,4311.671113444713,4775.392221483544
41,2014-09-10,4431.541893159445,4431.541893159445,4431.541893159445,4550.312480108656,4322.973250719432,4771.054147224968
42,2014-09-11,4436.846893497661,4436.846893497661,4436.846893497661,4548.60940224391,4313.656761509836,4765.782538251335
43,2014-09-12,4442.151893835875,4442.151893835875,4442.151893835875,4552.369630442574,4334.959501396072,4781.005047419579
44,2014-09-15,4458.066894850522,4458.066894850522,4458.066894850522,4552.334328809451,4329.092470214233,4772.638029775143
45,2014-09-16,4463.371895188737,4463.371895188737,4463.371895188737,4565.474495533262,4322.006388905832,4792.400728238277
46,2014-09-17,4468.676895526953,4468.676895526953,4468.676895526953,4567.759103599615,4334.481571894994,4780.823814271668
47,2014-09-18,4473.981895865169,4473.981895865169,4473.981895865169,4564.720481628269,4339.069460900711,4799.15740621638
48,2014-09-19,4479.286896203384,4479.286896203384,4479.286896203384,4566.88422755777,4343.115284097084,4796.926728913948
49,2014-09-22,4495.20189721803,4495.20189721803,4495.20189721803,4560.374407041744,4348.274617808962,4797.835958819957
50,2014-09-23,4500.506897556245,4500.506897556245,4500.506897556245,4570.799086081626,4331.879234287581,4787.075962082536
51,2014-09-24,4505.81189789446,4505.81189789446,4505.81189789446,4570.116271323784,4354.906067001775,4800.106549362107
52,2014-09-25,4511.116898232676,4511.116898232676,4511.116898232676,4563.889632521691,4350.711315745736,4792.369200358536
53,2014-09-26,4516.421898570892,4516.421898570892,4516.421898570892,4562.686077971812,4332.104230127944,4784.10883252447
54,2014-09-29,4532.336899585538,4532.336899585538,4532.336899585538,4545.5458778936445,4328.461689588771,4765.016184715916
55,2014-09-30,4537.641899923753,4537.641899923753,4537.641899923753,4552.469954430168,4313.2341193104,4781.558873729773
56,2014-10-01,4542.946900261969,4542.946900261969,4542.946900261969,4548.43042946497,4316.362593663381,4762.788313695495
57,2014-10-02,4548.251900600184,4548.251900600184,4548.251900600184,4539.06838359468,4326.011858581344,4764.424480718706
58,2014-10-03,4553.5569009384,4553.5569009384,4553.5569009384,4535.027899518372,4304.343265080312,4754.567731538532
59,2014-10-06,4569.471901953046,4569.471901953046,4569.471901953046,4511.890787164502,4286.091481594448,4744.63434836279
60,2014-10-07,4574.776902291262,4574.776902291262,4574.776902291262,4517.863870372581,4308.6779752727825,4735.444386547245
61,2014-10-08,4580.081902629477,4580.081902629477,4580.081902629477,4513.480033503971,4297.8551882275315,4726.869174520942
62,2014-10-09,4585.386902967692,4585.386902967692,4585.386902967692,4504.413035452754,4293.52662802182,4741.00148537944
63,2014-10-10,4590.6919033059075,4590.6919033059075,4590.6919033059075,4501.326476861216,4291.092790396139,4723.3993930794295
64,2014-10-13,4606.606904320553,4606.606904320553,4606.606904320553,4513.552659785937,4308.447741893571,4748.137922007451
65,2014-10-14,4611.911904658769,4611.911904658769,4611.911904658769,4494.456680075704,4274.726920797858,4721.876541851562
66,2014-10-15,4617.216904996984,4617.216904996984,4617.216904996984,4494.111399012794,4264.521342575518,4705.330501994727
67,2014-10-16,4622.5219053352,4622.5219053352,4622.5219053352,4489.558841323332,4265.785967919289,4696.023007190985
68,2014-10-17,4627.826905673415,4627.826905673415,4627.826905673415,4491.386330525524,4263.083363552557,4716.096842266682
69,2014-10-20,4643.741906688062,4643.741906688062,4643.741906688062,4491.290894266978,4259.131731959482,4712.664616098223
70,2014-10-21,4649.046907026277,4649.046907026277,4649.046907026277,4506.3508096338255,4287.439822763424,4738.814589122465
71,2014-10-22,4654.351907364492,4654.351907364492,4654.351907364492,4511.512119842934,4286.91558193145,4722.267160634495
72,2014-10-23,4659.656907702708,4659.656907702708,4659.656907702708,4512.283627195246,4283.899442696499,4736.839828808462
73,2014-10-24,4664.961908040924,4664.961908040924,4664.961908040924,4519.157255251624,4303.431731913688,4724.729530124566
74,2014-10-27,4680.87690905557,4680.87690905557,4680.87690905557,4531.696927184106,4304.876237636572,4752.484848857234
75,2014-10-28,4686.181909393786,4686.181909393786,4686.181909393786,4549.909169304701,4332.033420056696,4773.239687818796
76,2014-10-29,4691.486909732001,4691.486909732001,4691.486909732001,4557.613218734375,4348.4916653208575,4778.603628740616
77,2014-10-30,4696.791910070216,4696.791910070215,4696.791910070215,4560.29193731389,4351.08629855307,4787.240040114643
