,ds,trend,trend_lower,trend_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,yhat_lower,yhat_upper
0,2014-07-14,1854.645118775151,1854.645118775151,1854.645118775151,-24.555136471885675,-24.555136471885675,-24.555136471885675,94.05797602179281,94.05797602179281,94.05797602179281,1924.1479583250582,1860.1244225069786,1990.4200421047824
1,2014-07-15,1856.3847853262314,1856.3847853262314,1856.3847853262314,-21.439240279993214,-21.439240279993214,-21.439240279993214,96.99480754727787,96.99480754727787,96.99480754727787,1931.940352593516,1864.913590120134,1999.308145815969
2,2014-07-16,1858.1244518773121,1858.1244518773121,1858.1244518773121,-21.61228250853325,-21.61228250853325,-21.61228250853325,99.72265177734377,99.72265177734377,99.72265177734377,1936.2348211461226,1869.0625220987201,2004.3571843757845
3,2014-07-17,1859.8641184283924,1859.8641184283924,1859.8641184283924,-22.76359315350635,-22.76359315350635,-22.76359315350635,102.20681104752016,102.20681104752016,102.20681104752016,1939.3073363224062,1880.2053867060692,2006.0051577675229
4,2014-07-18,1861.6037849794732,1861.6037849794734,1861.6037849794734,-22.287851143077454,-22.287851143077454,-22.287851143077454,104.4173452838578,104.4173452838578,104.4173452838578,1943.7332791202534,1878.5470588932317,2012.4167468327573
5,2014-07-21,1866.8227846327143,1866.8227846327143,1866.8227846327143,-24.555136471884328,-24.555136471884328,-24.555136471884328,109.18983200748303,109.18983200748303,109.18983200748303,1951.457480168313,1887.5590977335173,2019.675585743578
6,2014-07-22,1868.5624511837948,1868.5624511837946,1868.5624511837946,-21.439240279970125,-21.439240279970125,-21.439240279970125,110.11807329123259,110.11807329123259,110.11807329123259,1957.2412841950572,1888.3254321697493,2020.7252909469196
7,2014-07-23,1870.3021177348753,1870.3021177348753,1870.3021177348753,-21.61228250852927,-21.61228250852927,-21.61228250852927,110.70878383906287,110.70878383906287,110.70878383906287,1959.3986190654089,1889.9024317066483,2022.3696616493826
8,2014-07-24,1872.0417842859556,1872.0417842859556,1872.0417842859556,-22.763593153530774,-22.763593153530774,-22.763593153530774,110.96717609871797,110.96717609871797,110.96717609871797,1960.2453672311428,1895.9559346920553,2031.484893313814
9,2014-07-25,1873.781450837036,1873.781450837036,1873.781450837036,-22.287851143082055,-22.287851143082055,-22.287851143082055,110.90405268818324,110.90405268818324,110.90405268818324,1962.397652382137,1898.9436315407331,2030.116747118673
10,2014-07-28,1879.0004504902777,1879.0004504902777,1879.0004504902777,-24.555136471824074,-24.555136471824074,-24.555136471824074,108.96732506321105,108.96732506321105,108.96732506321105,1963.4126390816646,1894.0048956829346,2031.9664266696334
